season,Player,Nation,Pos,Age,90s,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,xG,npxG,xA,xG_90,xA_90,xG+xA_90,npxG_90,DB_clusters
2019,Curtis Jones,eng ENG,MF,18,1.4,1.0,0.0,1.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.9,0.9,0.0,0.63,0.0,0.63,0.63,0
2019,Harvey Elliott,eng ENG,DF,16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020,Andrew Robertson,sct SCO,DF,26,37.6,1.0,7.0,1.0,0.0,2.0,0.0,0.03,0.19,0.21,0.03,1.4,1.4,6.9,0.04,0.18,0.22,0.04,0
2020,Mohamed Salah,eg EGY,FW,28,34.2,22.0,5.0,16.0,6.0,0.0,0.0,0.64,0.15,0.79,0.47,20.9,16.4,6.3,0.61,0.18,0.79,0.48,-1
2020,Trent Alexander-Arnold,eng ENG,DF,21,33.7,2.0,7.0,2.0,0.0,2.0,0.0,0.06,0.21,0.27,0.06,2.8,2.8,8.1,0.08,0.24,0.32,0.08,0
2020,Georginio Wijnaldum,nl NED,MF,29,32.7,2.0,0.0,2.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,3.2,3.2,1.7,0.1,0.05,0.15,0.1,0
2020,Alisson,br BRA,GK,27,33.0,1.0,0.0,1.0,0.0,1.0,0.0,0.03,0.0,0.03,0.03,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0
2020,Roberto Firmino,br BRA,FW,28,31.5,9.0,7.0,9.0,0.0,2.0,0.0,0.29,0.22,0.51,0.29,12.6,12.6,6.4,0.4,0.2,0.6,0.4,1
2020,Sadio Mané,sn SEN,FW,28,31.2,11.0,7.0,11.0,0.0,3.0,0.0,0.35,0.22,0.58,0.35,15.2,15.2,5.7,0.49,0.18,0.67,0.49,1
2020,Fabinho,br BRA,MF,26,28.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.02,0.01,0.03,0.02,0
